id,university_name,short_name,logo_url,slug,country,state,city,established_year,university_type,management_type,ugc_approved,aicte_approved,naac_grade,offers_ug,offers_pg,offers_phd,mode_regular,mode_distance,mode_online,program_streams,popular_courses,fees_range,admission_mode,eligibility_ug,eligibility_pg,official_website,contact_phone,contact_email,short_description,priority_tag
51,Delhi University,DU,http://example.com/logo/du.png,delhi-university,India,Delhi,Delhi,1922,Public,State Yes,Yes,A+,Yes,Yes,Yes,Yes,Yes,Yes,Arts|Science|Commerce,BA|BSc|BCom,20000-50000,Entrance|Merit,12th Grade,Graduation,https://www.du.ac.in,+91-11-2700-6900,Premier university in India known for its diverse programs,Top University
62,Jamia Millia Islamia,JMI,http://example.com/logo/jmi.png,jamia-millia-islamia,India,Delhi,Delhi,1920,Public,Central,Yes,Yes,A,Yes,Yes,Yes,Yes,Yes,Yes,Arts|Social Sciences,BA|MA|PhD,15000-50000,Merit,12th Grade,Graduation,https://www.jmi.ac.in,+91-11-2698-1717,Prominent university offering diverse programs,Top University
63,Indian Institute of Technology Delhi,IITD,http://example.com/logo/iitd.png,iit-delhi,India,Delhi,Delhi,1961,Public,Institute,Yes,Yes,A+,Yes,Yes,Yes,Yes,Yes,Yes,Engineering,BTech|MTech|PhD,50000-100000,Entrance,12th Grade,Graduation,https://www.iitd.ac.in,+91-11-2659-9600,Premier engineering institution in India,Top University
64,Indian Institute of Technology Bombay,IITB,http://example.com/logo/iitb.png,iit-bombay,India,Maharashtra,Mumbai,1958,Public,Institute,Yes,Yes,A+,Yes,Yes,Yes,Yes,Yes,Yes,Engineering,BTech|MTech|PhD,50000-100000,Entrance,12th Grade,Graduation,https://www.iitb.ac.in,+91-22-2572-2545,Elite engineering institution with global recognition,Top University
65,National Institute of Technology Delhi,NITD,http://example.com/logo/nitd.png,nit-delhi,India,Delhi,Delhi,2010,Public,Institute,Yes,Yes,A,Yes,Yes,Yes,Yes,No,Yes,Engineering,BTech|MTech,25000-65000,Entrance,12th Grade,Graduation,https://www.nitdelhi.ac.in,+91-11-2789-1600,New emerging NIT focusing on quality education,Top University
66,Indian Institute of Management Ahmedabad,IIMA,http://example.com/logo/iima.png,iim-ahmedabad,India,Gujarat,Ahmedabad,1961,Public,Institute,Yes,Yes,A+,Yes,Yes,Yes,Yes,No,Yes,Management,MBA|PhD,70000-150000,Entrance,Bachelor's Degree,Graduation,https://www.iimahd.edu.in,+91-79-6632-3200,Top management school renowned for its MBA program,Top University
67,Indian Institute of Management Bangalore,IIMB,http://example.com/logo/iimb.png,iim-bangalore,India,Karnataka,Bangalore,1973,Public,Institute,Yes,Yes,A+,Yes,Yes,Yes,Yes,No,Yes,Management,MBA|PhD,70000-150000,Entrance,Bachelor's Degree,Graduation,https://www.iimb.edu.in,+91-80-2658-2450,Leading management institute known for its placements,Top University
68,National Institute of Fashion Technology,NIFT,http://example.com/logo/nift.png,nift,India,Delhi,Delhi,1986,Public,Institute,Yes,Yes,A,Yes,No,Yes,Yes,No,Yes,Fashion Design|Management,BDes|MDes|MBA,50000-100000,Entrance,12th Grade,Graduation,https://www.nift.ac.in,+91-11-4503-2000,Top institute for fashion studies in India,Top University
69,Indian Institute of Science,IISc,http://example.com/logo/iisc.png,iisc,India,Karnataka,Bangalore,1909,Public,Institute,Yes,Yes,A+,Yes,Yes,Yes,Yes,No,Yes,Science|Engineering,MSc|PhD,40000-100000,Entrance,Graduation,Post-graduation,https://www.iisc.ac.in,+91-80-2293-2000,Reputed institute for science and engineering research,Top University
70,National Institute of Technology Karnataka,NITK,http://example.com/logo/nitk.png,nitk,India,Karnataka,Surathkal,1960,Public,Institute,Yes,Yes,A,Yes,Yes,Yes,Yes,No,Yes,Engineering,BTech|MTech,25000-65000,Entrance,12th Grade,Graduation,https://www.nitk.ac.in,+91-0824-247-4001,Known for quality education in engineering,Mentioned
71,University of Hyderabad,UoH,http://example.com/logo/uoh.png,university-of-hyderabad,India,Telangana,Hyderabad,1974,Public,Central,Yes,Yes,A+,Yes,No,Yes,Yes,Yes,No,Arts|Science,MSc|MA|PhD,20000-60000,Entrance,Graduation,Post-graduation,https://www.uohyd.ac.in,+91-40-2313-0000,Reputed university focusing on diverse fields,Mentioned
72,Jawaharlal Nehru Technological University,JNTU,http://example.com/logo/jntu.png,jawaharlal-nehru-technological-university,India,Telangana,Hyderabad,1972,Public,State,Yes,Yes,A,Yes,Yes,Yes,Yes,No,Yes,Engineering,BTech|MTech,20000-55000,Entrance,12th Grade,Graduation,https://www.jntuh.ac.in,+91-40-2315-2400,Known for engineering programs,Mentioned
73,Indian Institute of Technology Kanpur,IITK,http://example.com/logo/iitk.png,iit-kanpur,India,Uttar Pradesh,Kanpur,1959,Public,Institute,Yes,Yes,A+,Yes,Yes,Yes,Yes,Yes,Yes,Engineering,BTech|MTech|PhD,50000-100000,Entrance,12th Grade,Graduation,https://www.iitk.ac.in,+91-512-259-0151,One of the oldest IITs known for research,Top University
74,Indian Institute of Technology Kharagpur,IITKGP,http://example.com/logo/iitkgp.png,iit-kharagpur,India,West Bengal,Kharagpur,1951,Public,Institute,Yes,Yes,A+,Yes,Yes,Yes,Yes,Yes,Yes,Engineering,BTech|MTech|PhD,50000-100000,Entrance,12th Grade,Graduation,https://www.iitkgp.ac.in,+91-3222-255-131,Prestigious IIT known for engineering education and campus,Mentioned
75,National Institute of Technical Teachers Training and Research,NITTTR,http://example.com/logo/nitttr.png,nitttr,India,Chandigarh,Chandigarh,1967,Public,Institute,Yes,Yes,A,Yes,No,Yes,Yes,No,Yes,Engineering,BTech|MTech|PhD,20000-45000,Entrance,Graduation,Post-graduation,https://www.nitttrchd.ac.in,+91-172-275-2000,Focused on technical education research,Other
76,Tata Institute of Social Sciences,TISS,http://example.com/logo/tiss.png,tata-institute-of-social-sciences,India,Maharashtra,Mumbai,1936,Public,Institute,Yes,Yes,A+,Yes,Yes,Yes,Yes,Yes,No,Social Work|Management,MA|MSc,50000-100000,Entrance,Graduation,https://www.tiss.edu,+91-22-2552-5000,Known for social work and management courses,Other
77,Nirma University,http://example.com/logo/nirma.png,nirma-university,India,Gujarat,Ahmedabad,2003,Private,State,Yes,Yes,A,Yes,Yes,Yes,Yes,No,Yes,Management,MBA|PhD,30000-80000,Entrance,Graduation,Post-graduation,https://nirmauni.ac.in,+91-79-3064-7000,Known for management and engineering,Other
78,Shivaji University,Kolhapur,http://example.com/logo/shivaji.png,shivaji-university,India,Maharashtra,Kolhapur,1962,Public,State,Yes,Yes,B,Yes,Yes,Yes,Yes,No,Yes,Arts|Science,MSc|BA|PhD,20000-60000,Entrance,Graduation,Post-graduation,https://www.unishivaji.edu,+91-231-260-9000,Known for its rich cultural heritage and education,Other
79,Punjab University,PU,http://example.com/logo/pu.png,punjab-university,India,Punjab,Chandigarh,1882,Public,State,Yes,Yes,A,Yes,Yes,Yes,Yes,Yes,Yes,Engineering|Arts,BTech|MA|BSc,15000-50000,Entrance,12th Grade,Graduation,https://www.puchd.ac.in,+91-172-253-4819,One of the oldest universities known for various courses,Other
80,Maharishi Dayanand University,MDU,http://example.com/logo/mdu.png,mdu,India,Haryana,Rohtak,1977,Public,State,Yes,Yes,B,Yes,Yes,Yes,Yes,No,Yes,Arts|Science,MSc|BA|PhD,20000-50000,Entrance,Graduation,Post-graduation,https://www.mdu.ac.in,+91-1262-393-3000,Leading university known for arts and sciences,Other
81,University of Kashmir,UK,http://example.com/logo/uk.png,university-of-kashmir,India,Jammu and Kashmir,Srinagar,1965,Public,State,Yes,Yes,A,Yes,Yes,Yes,Yes,No,Yes,Arts|Science,MSc|MA|PhD,15000-45000,Merit,Graduation,Post-graduation,https://www.kashmiruniversity.net,+91-194-227-2090,Known for its academic excellence in the region,Other
82,Bihar Agricultural University,BiharAU,http://example.com/logo/biharau.png,bihar-agricultural-university,India,Bihar,Sabour,2016,Public,State,Yes,Yes,A,Yes,Yes,Yes,Yes,No,Yes,Agriculture,BSc|MSc,20000-30000,Entrance,12th Grade,Graduation,https://www.bausabour.ac.in,+91-645-226-4000,Newly established agricultural university,Other
83,Tamil Nadu Agricultural University,TNAU,http://example.com/logo/tnau.png,tamil-nadu-agricultural-university,India,Tamil Nadu,Coimbatore,1971,Public,State,Yes,Yes,A,Yes,Yes,Yes,Yes,No,Yes,Agriculture,BSc|MSc,20000-30000,Entrance,12th Grade,Graduation,https://www.tnausari.ac.in,+91-422-661-1215,Focused on agricultural education and research,Other
84,Nalanda University,NalandaU,http://example.com/logo/nalanda.png,nalanda-university,India,Bihar,Nalanda,2014,Public,State,Yes,No,B,Yes,No,Yes,Yes,No,Yes,Arts|Philosophy,MSc|MA,20000-40000,Entrance,Graduation,https://nalandauniv.edu.in,+91-611-552-6200,Reestablished ancient university focusing on higher education,Other
85,Guru Gobind Singh Indraprastha University,GGSIPU,http://example.com/logo/ggsip.png,ggsip,India,Delhi,Delhi,1998,Public,State,Yes,Yes,A,Yes,Yes,Yes,Yes,No,Yes,Management|Engineering,BTech|MBA,20000-60000,Entrance,12th Grade,Graduation,https://www.ipu.ac.in,+91-11-2530-1303,Known for management and engineering courses,Other
86,Sardar Vallabhbhai Patel University of Agriculture and Technology,SVPUAT,http://example.com/logo/svpuat.png,svpuat,India,Uttar Pradesh,Meerut,2000,Public,State,Yes,Yes,A,Yes,Yes,Yes,Yes,No,Yes,Agriculture,BSc|MSc,20000-30000,Entrance,12th Grade,Graduation,https://www.svbpurr.ac.in,+91-121-243-2382,Known for agricultural science education,Other
87,Bihar University,BiharU,http://example.com/logo/biharuniversity.png,bihar-university,India,Bihar,Muzzaffarpur,1952,Public,State,Yes,Yes,A,Yes,No,Yes,Yes,No,Yes,Arts|Science,MSc|BA|PhD,15000-50000,Entrance,Graduation,Post-graduation,https://www.biharuniversity.ac.in,+91-621-225-2121,Well-known state university for various courses,Mentioned
88,Maharashtra Animal and Fishery Sciences University,MAFSU,http://example.com/logo/mafsu.png,mafsu,India,Maharashtra,Nagpur,2000,Public,State,Yes,Yes,A,Yes,Yes,Yes,Yes,No,Yes,Agriculture|Science,BSc|MSc,20000-30000,Entrance,12th Grade,Graduation,https://www.mafsu.edu.in,+91-712-250-1345,Focuses on animal and fishery sciences,Other
89,Kerala Agricultural University,KAU,http://example.com/logo/kau.png,kau,India,Kerala,Thiruvananthapuram,1971,Public,State,Yes,Yes,A,Yes,Yes,Yes,Yes,No,Yes,Agriculture,BSc|MSc,20000-30000,Entrance,12th Grade,Graduation,https://www.kau.in,+91-471-243-8511,Known for agricultural research and education,Other
90,Indian Institute of Technology Roorkee,IITR,http://example.com/logo/iitr.png,iit-roorkee,India,Uttarakhand,Roorkee,1847,Public,Institute,Yes,Yes,A+,Yes,Yes,Yes,Yes,Yes,Yes,Engineering,BTech|MTech|PhD,50000-100000,Entrance,12th Grade,Graduation,https://www.iitr.ac.in,+91-1332-285-511,One of the oldest engineering institutes in India,Top University
91,Punjab Technical University,PTU,http://example.com/logo/ptu.png,ptu,India,Punjab,Jalandhar,1997,Public,State,Yes,Yes,A,Yes,Yes,Yes,Yes,No,Yes,Engineering|Management,BTech|MBA,20000-60000,Entrance,12th Grade,Graduation,https://www.ptu.ac.in,+91-181-274-2330,Known for technical education and research
92,Bharathiar University,BHARU,http://example.com/logo/bharu.png,bharathiar-university,India,Tamil Nadu,Coimbatore,1982,Public,State,Yes,Yes,A,Yes,Yes,Yes,Yes,No,Yes,Arts|Science,MSc|BA|PhD,20000-60000,Entrance,Graduation,Post-graduation,https://www.b-u.ac.in,+91-422-242-2222,Known for its focus on research and higher education,Other
93,Chaudhary Charan Singh University,CCSU,http://example.com/logo/ccsu.png,ccsu,India,Uttar Pradesh,Meerut,1966,Public,State,Yes,Yes,B,Yes,Yes,Yes,Yes,No,Yes,Arts|Commerce,MSc|BA|BCom,15000-50000,Entrance,Mentz,https://www.ccsuniversity.ac.in,+91-121-276-0950,Focus on arts and commerce education,Other
94,Indira Gandhi National Open University,IGNOU,http://example.com/logo/ignou.png,ignou,India,Delhi,Delhi,1985,Public,Central,Yes,Yes,A,Yes,Yes,Yes,Yes,No,Yes,Distance Education,BA|BCom|MCom,50000-100000,Entrance,Graduation,https://www.ignou.ac.in,+91-11-2953-5000,Pioneering open university for distance education,Other
95,Veer Narmad South Gujarat University,VNSGU,http://example.com/logo/vnsgu.png,vnsgu,India,Gujarat,Surat,1965,Public,State,Yes,Yes,A,Yes,Yes,Yes,Yes,No,Yes,Arts|Science,BSc|MSc|MCom,20000-60000,Entrance,Graduation,Post-graduation,https://www.vnsgu.ac.in,+91-261-222-6600,Known for its diverse programs,Other
96,Osmania University,OU2,http://example.com/logo/ou2.png,osmania-university2,India,Telangana,Hyderabad,1918,Public,State,Yes,Yes,A,Yes,Yes,Yes,Yes,No,Yes,Science|Arts,BSc|MSc,20000-60000,Entrance,Graduation,https://www.osmania.ac.in,+91-40-2709-8000,One of the leading universities in India,Other
97,Shivaji University,Kolk,http://example.com/logo/shivaji.png,shivaji-university2,India,Maharashtra,Kolhapur,1962,Public,State,Yes,Yes,B,Yes,Yes,Yes,Yes,No,Yes,Commerce|Arts,MCom|BA,15000-50000,Entrance,Graduation,https://www.unishivaji.edu,+91-231-260-9000,Known for its cultural and educational contributions,Other
98,Delhi University 2,DU2,http://example.com/logo/du2.png,delhi-university2,India,Delhi,Delhi,1922,Public,State,Yes,Yes,A+,Yes,Yes,Yes,Yes,Yes,Yes,Engineering|Arts,MTech|BA,20000-70000,Entrance,Graduation,https://www.du.ac.in,+91-11-2700-6900,Prestigious university known for its diverse courses,Other
99,JNTU Kakinada,JNTUK,http://example.com/logo/jntuk.png,jntu-kakinada,India,Andhra Pradesh,Kakinada,2008,Public,State,Yes,Yes,A,Yes,Yes,Yes,Yes,No,Yes,Engineering,MTech|BTech,25000-65000,Entrance,12th Grade,Graduation,https://www.jntuk.edu.in,+91-884-237-8600,Notable institution known for engineering courses,Other
100,Indian Institute of Management Lucknow,IIML,http://example.com/logo/iiml.png,iim-lucknow,India,Uttar Pradesh,Lucknow,1984,Public,Institute,Yes,Yes,A+,Yes,Yes,Yes,Yes,Yes,Yes,Management,MBA|PhD,70000-150000,Entrance,Bachelor's Degree,Graduation,https://www.iiml.ac.in,+91-522-239-2620,Leading management institution with a global reputation,Top University
