id,university_name,short_name,logo_url,slug,country,state,city,established_year,university_type,management_type,ugc_approved,aicte_approved,naac_grade,offers_ug,offers_pg,offers_phd,mode_regular,mode_distance,mode_online,program_streams,popular_courses,fees_range,admission_mode,eligibility_ug,eligibility_pg,official_website,contact_phone,contact_email,short_description,priority_tag
128,G.D. Goenka University,GDGU,https://someurl.com/logo28.png,g-d-goenka-university,India,Haryana,Gurgaon,2013,Private,Private,Yes,Yes,A+,Yes,Yes,Yes,Yes,No,Yes,"Engineering, Management, Arts","B.Tech, MBA",40000-120000,Merit-based,12th Pass,Graduation,https://www.gdgoenka.edu.in,+91-1234567817,info@gdgoenka.edu.in,"Description of GDGU",High
129,Sharda University,SU,https://someurl.com/logo29.png,sharda-university,India,Uttar Pradesh,Greater Noida,2009,Private,Private,Yes,Yes,A+,Yes,Yes,Yes,Yes,No,Yes,"Management, Engineering, Sciences","B.Tech, MBA",35000-115000,Merit-based,12th Pass,Graduation,https://www.sharda.ac.in,+91-1234567818,info@sharda.ac.in,"Description of Sharda",High
130,BML Munjal University,BML,https://someurl.com/logo30.png,bml-munjal-university,India,Haryana,Gurgaon,2014,Private,Private,Yes,Yes,A+,Yes,Yes,Yes,Yes,No,Yes,"Engineering, Management","B.Tech, MBA",35000-120000,Merit-based,12th Pass,Graduation,https://www.bmu.edu.in,+91-1234567819,info@bmu.edu.in,"Description of BML",High
131,GLA University,GLA,https://someurl.com/logo31.png,gla-university,India,Uttar Pradesh,Mathura,2012,Private,Private,Yes,Yes,A+,Yes,Yes,Yes,Yes,No,Yes,"Engineering, Management, Arts","B.Tech, MBA",32000-115000,Merit-based,12th Pass,Graduation,https://www.gla.ac.in,+91-1234567820,info@gla.ac.in,"Description of GLA",High
132,Teerthanker Mahaveer University,TMU,https://someurl.com/logo32.png,teerthanker-mahaveer-university,India,Uttar Pradesh,Moradabad,2008,Private,Private,Yes,Yes,A+,Yes,Yes,Yes,Yes,No,Yes,"Engineering, Management, Arts","B.Tech, MBA",30000-110000,Merit-based,12th Pass,Graduation,https://www.tmu.ac.in,+91-1234567821,info@tmu.ac.in,"Description of TMU",High
133,Galgotias University,GU,https://someurl.com/logo33.png,galgotias-university,India,Uttar Pradesh,Gautam Buddh Nagar,2011,Private,Private,Yes,Yes,A+,Yes,Yes,Yes,Yes,No,Yes,"Engineering, Management","B.Tech, MBA",40000-125000,Merit-based,12th Pass,Graduation,https://www.gu.ac.in,+91-1234567822,info@gu.ac.in,"Description of GU",High
134,Rai University,RU,https://someurl.com/logo34.png,rai-university,India,Gujarat,Ahmedabad,2012,Private,Private,Yes,Yes,A,+,Yes,Yes,Yes,No,Yes,"Engineering, Management, Arts","B.Tech, MBA",35000-115000,Merit-based,12th Pass,Graduation,https://www.raiuniversity.edu.in,+91-1234567823,info@raiuniversity.edu.in,"Description of RU",High
135,BGIET,BGIET,https://someurl.com/logo35.png,bgi-et,India,Punjab,Lehra Mohabbat,1999,Private,Private,Yes,Yes,B+,Yes,Yes,Yes,Yes,No,Yes,"Engineering","B.Tech",35000-90000,Merit-based,12th Pass,Graduation,https://www.bget.edu.in,+91-1234567824,info@bget.edu.in,"Description of BGIET",High
136,IIIT Delhi,IIITD,https://someurl.com/logo36.png,iiit-delhi,India,Delhi,New Delhi,2008,Private,Private,Yes,Yes,A+,Yes,Yes,Yes,Yes,No,Yes,"Engineering, Computer Applications","B.Tech, M.Tech",30000-110000,Merit-based,12th Pass,Graduation,https://www.iiitd.ac.in,+91-1234567825,info@iiitd.ac.in,"Description of IIITD",High
137,IIIT Bangalore,IIITB,https://someurl.com/logo37.png,iiit-bangalore,India,Karnataka,Bangalore,1999,Private,Private,Yes,Yes,A+,Yes,Yes,Yes,No,No,Yes,"Engineering, Computer Applications","B.Tech, M.Tech",35000-120000,Merit-based,12th Pass,Graduation,https://www.iiitb.ac.in,+91-1234567826,info@iiitb.ac.in,"Description of IIITB",High
138,IIIT Hyderabad,IIITH,https://someurl.com/logo38.png,iiit-hyderabad,India,Telangana,Hyderabad,1998,Private,Private,Yes,Yes,A+,Yes,Yes,Yes,Yes,No,Yes,"Engineering, Computer Applications","B.Tech, M.Tech",35000-125000,Merit-based,12th Pass,Graduation,https://www.iiit.ac.in,+91-1234567827,info@iiit.ac.in,"Description of IIITH",High
139,IISER Pune,IISERP,https://someurl.com/logo39.png,iiser-pune,India,Maharashtra,Pune,2008,Public,Public,Yes,Yes,A+,Yes,Yes,Yes,No,No,Yes,"Science, Engineering","Integrated B.Sc, M.Sc",50000-150000,Merit-based,12th Pass,Graduation,https://www.iiserpune.ac.in,+91-1234567828,info@iiserpune.ac.in,"Description of IISER",High
140,NIPS,NIPS,https://someurl.com/logo40.png,nips,India,Rajasthan,Jaipur,2001,Private,Private,Yes,Yes,A+,Yes,Yes,Yes,Yes,No,Yes,"Management, Engineering","BBA, B.Tech",30000-90000,Merit-based,12th Pass,Graduation,https://www.nips.edu.in,+91-1234567829,info@nips.edu.in,"Description of NIPS",High
141,ILS Law College,ILS,https://someurl.com/logo41.png,ils-law-college,India,Maharashtra,Pune,1933,Private,Private,Yes,Yes,A+,Yes,Yes,Yes,No,No,Yes,"Law","LLB, LLM",30000-80000,Merit-based,Graduation,NA,https://www.ilslaw.edu,+91-1234567830,info@ilslaw.edu,"Description of ILS",High
142,Gujarat University,GU,https://someurl.com/logo42.png,gujarat-university,India,Gujarat,Ahmedabad,1949,Public,Public,Yes,Yes,A+,Yes,Yes,Yes,No,No,Yes,"Science, Arts, Management","B.Sc, MBA",20000-70000,Merit-based,12th Pass,Graduation,https://www.gujaratuniversity.ac.in,+91-1234567831,info@gujaratuniversity.ac.in,"Description of GU",High
143,Calicut University,CU,https://someurl.com/logo43.png,calicut-university,India,Kerala,Calicut,1968,Public,Public,Yes,Yes,A+,Yes,Yes,Yes,No,No,Yes,"Arts, Science, Management","BA, MBA",15000-60000,Merit-based,12th Pass,Graduation,https://www.uoc.ac.in,+91-1234567832,info@uoc.ac.in,"Description of CU",High
144,Madurai Kamaraj University,MKU,https://someurl.com/logo44.png,madurai-kamaraj-university,India,Tamil Nadu,Madurai,1966,Public,Public,Yes,Yes,A+,Yes,Yes,Yes,No,No,Yes,"Science, Arts","B.Sc, BA",15000-60000,Merit-based,12th Pass,Graduation,https://www.mkuniversity.ac.in,+91-1234567833,info@mkuniversity.ac.in,"Description of MKU",High
145,Meenakshi University,Meenakshi,https://someurl.com/logo45.png,meenakshi-university,India,Tamil Nadu,Chennai,2004,Private,Private,Yes,Yes,A+,Yes,Yes,Yes,Yes,No,Yes,"Medical, Engineering","MBBS, B.Tech",40000-120000,Merit-based,12th Pass,Graduation,https://www.meu.edu.in,+91-1234567834,info@meu.edu.in,"Description of Meenakshi",High
146,SIES,SIES,https://someurl.com/logo46.png,sies,India,Maharashtra,Mumbai,1966,Private,Private,Yes,Yes,A+,Yes,Yes,Yes,Yes,No,No,"Science, Arts, Management","B.Sc, MBA",20000-70000,Merit-based,12th Pass,Graduation,https://www.sies.edu.in,+91-1234567835,info@sies.edu.in,"Description of SIES",High
147,NMIMS,NMIMS,https://someurl.com/logo47.png,nmims,India,Maharashtra,Mumbai,1981,Private,Private,Yes,Yes,A+,Yes,Yes,Yes,Yes,No,Yes,"Management, Engineering","B.Tech, MBA",40000-150000,Merit-based,12th Pass,Graduation,https://www.nmims.edu,+91-1234567836,info@nmims.edu,"Description of NMIMS",High
148,St. Xavier's College,StX,https://someurl.com/logo48.png,st-xaviers-college,India,Maharashtra,Mumbai,1869,Private,Private,Yes,Yes,A+,Yes,Yes,Yes,Yes,No,Yes,"Arts, Science","BA, B.Sc",30000-80000,Merit-based,12th Pass,Graduation,https://www.xaviers.edu,+91-1234567837,info@xaviers.edu,"Description of St. Xavier's",High
149,Miranda House,Miranda,https://someurl.com/logo49.png,miranda-house,India,Delhi,New Delhi,1967,Public,Public,Yes,Yes,A+,Yes,Yes,Yes,No,No,Yes,"Arts, Science","BA, B.Sc",20000-70000,Merit-based,12th Pass,Graduation,https://www.mirandahouse.ac.in,+91-1234567838,info@mirandahouse.ac.in,"Description of Miranda House",High
150,Hindu College,Hindu,https://someurl.com/logo50.png,hindu-college,India,Delhi,New Delhi,1899,Public,Public,Yes,Yes,A+,Yes,Yes,Yes,No,No,Yes,"Arts, Science","BA, B.Sc",25000-90000,Merit-based,12th Pass,Graduation,https://www.hinducollege.edu.in,+91-1234567839,info@hinducollege.edu.in,"Description of Hindu College",High
